,"scrape_date","product_collections","Brand","Product","Price Per Gram","unit_of_measurement","Product_URL","THC %","CBD %","Prices","availability","product_sku","thc_percent_low_end_of_range","thc_percent_high_end_of_range","cbd_low_end_of_range","cbd_high_end_of_range","grow_method","trimming_method","growing_region","growing_region_cleaned","latitude","longitude","strain_name","plant_type","potency","brand","licensed_producer","long_product_description","Unnamed: 0","terpenes","actual_product_type","product_name_link_markdown"
211,"2023-12-30","Dried Flower","Good Supply","Pineapple Express",5.96,"g","https://ocs.ca/products/pineapple-express-good-supply-pineapple-express",22,1,20.86,"In stock online",694144011987,18,26,0,2,"Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,"Pineapple Express","Hybrid","Very Strong","Good Supply","APHRIA INC.","Save the movie jokes, we all know this one’s a classic. Pineapple Express is a sativa-leaning hybrid banger that tastes as good as it smells. Grab this fruity flower that excels in both potency and aroma. Its caramel, citrus and mango notes are almost as recognizable as its name. This fruit-forward strain is set for a one-way ticket to enjoyment station and making no stops.",,"Alpha-Humulene, Alpha-Pinene, Beta-Caryophyllene, Beta-Myrcene, Beta-Pinene","Dried Flower","[HHH Pre-Roll](https://ocs.ca/products/hhh-pre-roll-the-bc-bud-co)"
212,"2023-12-30","Dried Flower","Greenman Acres","Organic Mother of Berries",7.18,"g","https://ocs.ca/products/organic-mother-of-berries-greenman-acres",29,1,7.18,,628693495066,27,31,0,2,"Outdoor",,"Grey County","Meaford",44.6069298,-80.5916531,,"Indica Dominant","Very Strong","Greenman Acres","Greenman Acres Inc.","MOB is a sun-drenched, indica-dominant strain. It has been slowly dried and cured for a minimum of 21 days and hand-finished. Having a Blueberry and fresh fruit nose, and boasting a rich terpene mix of trans-nerolidol, caryophyllene limonene, pinene and humulene with very strong THC potency. Greenman Acres is family owned and operated. We share a passion for cannabis and strive to produce some of best grown cannabis available. We take an enormous amount of care when growing and caring for our plants. If it's not good enough for our family, it won't make it to yours. Passion. Craft. Quality. Greenman Acres.",,,"Dried Flower","[Pineapple Nuken](https://ocs.ca/products/pineaple-nuken-divvy)"
214,"2023-12-30","Dried Flower","Greenman Acres","Organic CBD Critical Cure",8.7,"g","https://ocs.ca/products/organic-cbd-critical-cure-greenman-acres-cbd-critical-cure",7.5,7.5,30.45,"In stock online",628693495073,5,10,5,10,"Outdoor",,"Meaford","Meaford",44.6069298,-80.5916531,"CBD Critical Cure","Hybrid","Mild","Greenman Acres","Greenman Acres Inc.","From Barney’s Farm comes CBD Critical Cure, an indica-dominant strain with a balanced amount of CBD and THC and a sweet, earthy flavour.",,"Alpha-Pinene, Beta-Caryophyllene, Beta-Myrcene, Beta-Pinene, Delta-Limonene","Dried Flower","[Banjo-GPS](https://ocs.ca/products/grandpas-stash-ouest)"
218,"2023-12-30","Dried Flower","GreenSeal","Pink Octane",,,"https://ocs.ca/products/pink-octane-greenseal",29,0.5,,,,26,32,0,1,"Indoor",,"SW Ontario",,,,,"Indica Dominant","Very Strong","GreenSeal","GreenSeal Cannabis Company Ltd.","Pink Octane’s sky-high THC and gassy undertones shot it straight to the top of GreenSeal’s in-house nursery program. Absolutely covered with frosty trichomes, the visible potency of this blushing indica-typical phenotype is confirmed by its strong effects. You’ll be tickled pink by its sweet and nutty flavour profile, mingled with a subtle touch of funky fuel aroma.",,"Beta-Caryophyllene, Beta-Ocimenene, Germacrene, Myrcene, Selinadienes","Dried Flower","[Blackberry Gelato Pre-Rolls](https://ocs.ca/products/blackberry-gelato-pre-rolls-wildlife)"
220,"2023-12-30","Dried Flower","GreenSeal","Cookie Cake",10.06,"g","https://ocs.ca/products/cookie-cake-greenseal-pink-cookies",30,0.5,35.21,"In stock online",180889000510,27,33,0,1,"Indoor",,"SW Ontario",,,,"Meringue","Sativa Dominant","Very Strong","GreenSeal","GreenSeal Cannabis Company Ltd.","Cookie Cake is the sativa-dominant offspring of a Wedding Cake x Animal CKS ‘celebrity cross’ conceived via GreenSeal’s Nursery program. A true prodigy, the best qualities of both parents shine through in its exceptionally sweet and creamy Cake and CKS flavour. Appropriately ‘Caked’ with glittering trichomes, the dark green buds are as beautiful as they are tasty and potent.",,"Alpha-Pinene, Beta-Caryophyllene, Germacrene, Myrcene, Selinadienes","Dried Flower","[Reserva Privada OG18](https://ocs.ca/products/reserva-privada-og18-strain-rec)"
221,"2023-12-30","Dried Flower","GreenSeal","Pink Octane",,,"https://ocs.ca/products/pink-octane-greenseal-1",29,0.5,,,,26,32,0,1,"Indoor",,"Southwestern Ontario",,,,,"Indica Dominant","Very Strong","GreenSeal","GreenSeal Cannabis Company Ltd.","Pink Octane’s sky-high THC and gassy undertones shot it straight to the top of GreenSeal’s in-house Nursery program. The potency is visible on this blushing indica-typical phenotype that is absolutely covered with frosty trichomes. You’ll be tickled pink by its sweet and nutty flavour profile, mingled with a subtle touch of funky fuel aroma.",,"Beta-Caryophyllene, Beta-Ocimene, Germacrene, Myrcene, Selinadienes","Dried Flower","[Royal Collection Redees Pre-Roll (King Pack)](https://ocs.ca/products/royal-collection-redees-pre-roll-king-pack-redecan)"
222,"2023-12-30","Dried Flower","GreenSeal","Cookie Cake",7.85,"g","https://ocs.ca/products/cookie-cake-greenseal-meringue",30,0.5,109.9,"In stock online",180889000541,27,33,0,1,"Indoor",,"Southwestern Ontario",,,,"Meringue","Sativa Dominant","Very Strong","GreenSeal","GreenSeal Cannabis Company Ltd.","Cookie Cake is the sativa-dominant offspring of a Wedding Cake x Animal CKS ‘celebrity cross’ conceived via GreenSeal’s Nursery program. A true prodigy, the best qualities of both parents shine through in its exceptionally sweet and creamy Cake flavour. Appropriately ‘Caked’ with glittering trichomes, the dark green buds are as beautiful as they are tasty and potent.",,"Alpha-Pinene, Beta-Caryophyllene, Germacrene, Myrcene, Selinadienes","Dried Flower","[All Flower (3CT) FPOG Pre-Roll](https://ocs.ca/products/all-flower-3ct-fpog-pre-roll-greybeard)"
227,"2023-12-30","Dried Flower","Growtown","Chem Cookies",,,"https://ocs.ca/products/chem-cookies-growtown",32.25,0.5,,,,30.5,34,0,1,"Indoor",,"Sainte-Barbe","Sainte-Barbe",45.163144,-74.1955876,,"Indica Dominant","Very Strong","Growtown","Ze Feng International Group Inc.","The love child of parent strains GSC and Chemdog #4, Chem Cookies is fragrant and flavourful with a robust diesel profile, complimented by earthy notes of plum, muted citrus and coffee. The large dense, dark buds are frosted with trichomes and boast bright orange pistils throughout. A true craft-cannabis masterpiece, this high-THC indica is hang-dried and hand trimmed before being carefully selected for packaging.",,"Alpha-Pinene, Humulene, Limonene","Dried Flower","[Pink Cookies](https://ocs.ca/products/pink-cookies-big-bag-o-buds)"
232,"2023-12-30","Dried Flower","High Street Cannabis","Craft Vac-Pac",,,"https://ocs.ca/products/craft-vac-pac-high-street-cannabis",25.5,3,,,,21,30,0,6,"Hybrid-Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,,"Hybrid","Very Strong","High Street Cannabis","Quality Green Inc","Our ode to the legacy market in the format we all loved. Mixing and matching your favourite strains into a reasonably priced product, perfect for the connoisseur and consumer who's always on the hunt for the best strains. We also vac-sealed each quarter so you can crack each one open when you’re ready to roll up. We’ve picked four of our favourites and can’t wait to share them in this limited drop. Vac-Pac includes four of our unique strains.",,"Terpenes May Vary","Dried Flower","[Kush Mints](https://ocs.ca/products/kush-mints-tweed)"
234,"2023-12-30","Dried Flower","High Street Cannabis","Platinum Punch Remix",8.07,"g","https://ocs.ca/products/platinum-punch-remix-high-street-cannabis-platinum-punch-remix",27,3,56.49,"In stock online",627886000568,23,31,0,6,"Hybrid-Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,"Platinum Punch Remix","Sativa Dominant","Very Strong","High Street Cannabis","Quality Green Inc","Lineage: Platinum x Purple Punch. Breeder: InHouse Genetics. Phenohunted: Hidden Reserves. Nose: Creamy, sweet and floral. Taste: Creamy, smooth and sweet. Platinum Punch Remix is one of the most sought after legacy strains in Canada. It quickly became popular making the rounds through Vancouver and Toronto’s cannabis scene. Since 2019, it's been Hidden Reserves most popular strain and the people still want more. Platinum Punch Remix is a legacy legend ready for its legal debut.",,"Caryophyllene, Limonene, Myrcene, Terpenes May Vary","Dried Flower","[Elios Reserve Dark Shadow Haze](https://ocs.ca/products/elios-reserve-dark-shadow-haze-elios-reserve)"
235,"2023-12-30","Dried Flower","Highland Grow","Chemnesia",,,"https://ocs.ca/products/chemnesia-highland-grow",34,3,,,,31,37,0,6,"Indoor",,"Nova Scotia","halifax",44.648618,-63.5859487,,"Sativa Dominant","Very Strong","Highland Grow","Trichome JWC Acquisition Corp. dba JWC","This blend of the potent hybrid I-95 and the sativa of all sativas Amnesia Sour D, truly brings the fire… A fire that burns with a heavy air of citrus and dank fuel.",,"Limonene, Myrcene, Ocimene","Dried Flower","[Bush League Sour Kush Milled Flower](https://ocs.ca/products/bush-league-sour-kush-milled-flower-back-forty)"
238,"2023-12-30","Dried Flower","HighXotic","Royal Dive #1: Black Mountain Side",13.91,"g","https://ocs.ca/products/royal-dive-1-black-mountain-side-highxotic-black-mountain-side",32.5,2.5,48.69,"In stock online",627987991796,29,36,0,5,"Indoor",,"Beauceville","Beauceville",46.210725,-70.774269,"Black Mountain Side","Indica Dominant","Very Strong","HighXotic","NovoMan Medicals Corporation","The buds of this strain are found to be dense with green colour with traces of purple. There is a thick layer of crystals all over. Black Mountain Side gives off a sweet and minty aroma true to its name.",,"Beta-Caryophyllene, Beta-Pinene, Delta-Limonene, Trans-ocimene","Dried Flower","[Berry Smasher](https://ocs.ca/products/berry-smasher-muskoka-grown)"
243,"2023-12-30","Dried Flower","Holy Mountain","R*NTZ",,,"https://ocs.ca/products/r-ntz-holy-mountain",21,0.075,,,,18,24,0,0.15,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,,"Indica Dominant","Very Strong","Holy Mountain","ORGANIGRAM INC.","This indica-dominant strain has a beautiful bud structure with a really nice purple colouration throughout. It’s not a piece of hard candy but it does have strong fruit aromas (specifically berry-forward), which get topped off by a nice, subtle gas aroma.",,,"Dried Flower","[Mango Haze Pre-Roll](https://ocs.ca/products/mango-haze-pre-roll-color-cannabis)"
244,"2023-12-30","Dried Flower","Holy Mountain","R*NTZ",,,"https://ocs.ca/products/r-ntz-holy-mountain-1",22,0.5,,,,18,26,0,1,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,,"Indica Dominant","Very Strong","Holy Mountain","ORGANIGRAM INC.","This indica-dominant strain has a beautiful bud structure with a really nice purple colouration throughout. It’s not a piece of hard candy but it does have strong fruit aromas (specifically berry-forward), which get topped off by a nice, subtle gas aroma.",,"Beta-Pinene, Caryophyllene, Limonene, Linalool, Myrcene","Dried Flower","[B. Banner Pre-Roll](https://ocs.ca/products/b-banner-pre-roll-argentia-gold)"
245,"2023-12-30","Dried Flower","Holy Mountain","Frozen Lemons",,,"https://ocs.ca/products/frozen-lemons-holy-mountain",23,0.5,,,,20,26,0,1,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,,"Sativa Dominant","Very Strong","Holy Mountain","ORGANIGRAM INC.","Weary travellers, look no further than Frozen Lemons from Holy Mountain, the perfect refreshing treat after a long day of questing. With a strong dose of limonene, the lemon aromas are massive on these potent, chunky and spade-shaped buds, and get complemented by zesty and sweet notes. Frozen Lemons has a lineage so legendary you’ll be hard pressed to find it anywhere else!",,"Beta-Pinene, Caryophyllene, Limonene, Myrcene, Terpinolene","Dried Flower","[Platinum Cookies Pre-Rolls](https://ocs.ca/products/platinum-cookies-pre-rolls-palmetto)"
246,"2023-12-30","Dried Flower","Holy Mountain","R*NTZ",,,"https://ocs.ca/products/rvntz-holy-mountain-fr-1",22,0.5,,,,18,26,0,1,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,,"Indica Dominant","Very Strong","Holy Mountain","ORGANIGRAM INC.","This indica-dominant strain has a beautiful bud structure with a really nice purple colouration throughout. It’s not a piece of hard candy but it does have strong fruit aromas (specifically berry-forward), which get topped off by a nice, subtle gas aroma.",,"Beta-Pinene, Caryophyllene, Limonene, Linalool, Myrcene","Dried Flower","[Pure Sun CBD Pre-Rolls](https://ocs.ca/products/pure-sun-cbd-pre-rolls-pure-sunfarms)"
247,"2023-12-30","Dried Flower","Holy Mountain","MAC-1",,,"https://ocs.ca/products/mac-1-holy-mountain-1",23,0.5,,,,20,26,0,1,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,,"Hybrid","Very Strong","Holy Mountain","ORGANIGRAM INC.","For the experienced user who knows what they’re looking for. MAC-1 isn’t messing around. This legendary hybrid cultivar is robust and colourful, and comes in at a potent THC range. MAC-1 has super dense and firm buds composed of two-tone light and dark greens with the occasional pop of light purple. It’s a cross of Miracle 15 and Alien Cookies. The results are out of this world with trichomes covering every nook and cranny of the flower. Citrus flavour upfront, which gives in to a mid-range gassy diesel smell, finished off with a hint of spice that’s oh so nice.",,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Linalool","Dried Flower","[10th Planet Pre-Rolls](https://ocs.ca/products/10th-planet-pre-rolls-countryside)"
248,"2023-12-30","Dried Flower","Holy Mountain","Vanilla Gelato",,,"https://ocs.ca/products/vanilla-gelato-holy-mountain",23,0.5,,,,20,26,0,1,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,"Orange RNTz","Indica Dominant","Very Strong","Holy Mountain","ORGANIGRAM INC.","It’s always best to finish off an epic feast with some dessert. That’s where Vanilla Gelato from Holy Mountain comes in. This is an appetizing blend of Kush, herbal and diesel notes with sweet and floral confectionery aromas. Tall, tapered, medium-density, two-toned green buds await the beholder, accented with dark orange pistils. While the aroma may be confectionery, this is a mighty plant. Wield with care.",,"Beta-Pinene, Caryophyllene, Fenchol, Limonene, Linalool","Dried Flower","[ICC + MAC-1 Pre-Roll Combo Pack](https://ocs.ca/products/icc-mac-1-pre-roll-combo-pack-edison-cannabis-co)"
249,"2023-12-30","Dried Flower","Holy Mountain","MAC-1",,,"https://ocs.ca/products/mac-1-holy-mountain-fr-1",23,0.5,,,,20,26,0,1,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,,"Hybrid","Very Strong","Holy Mountain","ORGANIGRAM INC.","For the experienced user who knows what they’re looking for. MAC-1 isn’t messing around. This legendary hybrid cultivar is robust and colourful, and comes in at a potent THC range. MAC-1 has super dense and firm buds composed of two-tone light and dark greens with the occasional pop of light purple. It’s a cross of Miracle 15 and Alien Cookies. The results are out of this world with trichomes covering every nook and cranny of the flower. Citrus flavour upfront, which gives in to a mid-range gassy diesel smell, finished off with a hint of spice that’s oh so nice.",,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Linalool","Dried Flower","[33 Splitter](https://ocs.ca/products/33-splitter-true-fire-co-ltd)"
250,"2023-12-30","Dried Flower","Holy Mountain","Vanilla Gelato",4.46,"g","https://ocs.ca/products/vanilla-gelato-holy-mountain-vanilla-ice",24,0.5,124.88,"In stock online",671148021150,20,28,0,1,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,"Vanilla Ice","Indica Dominant","Very Strong","Holy Mountain","ORGANIGRAM INC.","It’s always best to finish off an epic feast with some dessert. That’s where Vanilla Gelato from Holy Mountain comes in. This is an appetizing blend of Kush, herbal and diesel notes with sweet and floral confectionery aromas. Tall, tapered, medium-density, two-toned green buds await the beholder, accented with dark orange pistils. While the aroma may be confectionery, this is a mighty plant. Wield with care.",,"Beta-Pinene, Caryophyllene, Fenchol, Limonene, Linalool","Dried Flower","[Purple Balance Pre-Roll](https://ocs.ca/products/purple-balance-pre-rolls-pinnrz)"
251,"2023-12-30","Dried Flower","Holy Mountain","I.C.C.",6.54,"g","https://ocs.ca/products/i-c-c-holy-mountain-ice-cream-cake",21,0.5,22.89,"In stock online",671148021136,18,24,0,1,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,"Ice Cream Cake","Indica Dominant","Very Strong","Holy Mountain","ORGANIGRAM INC.","Legendary strain ICC has entered the chat. This mighty miracle bud is seeping with aromas of gas, spice and sweet vanilla, thanks to its cake-heavy lineage. Indica-dominant. Can you say immaculate confection?",,"Alpha-Pinene, Caryophyllene, Germacrene, Limonene, Linalool","Dried Flower","[HHH Pre-Roll](https://ocs.ca/products/hhh-pre-roll-the-bc-bud-co)"
252,"2023-12-30","Dried Flower","Holy Mountain","GMO Tropical Reign",4.46,"g","https://ocs.ca/products/gmo-tropical-reign-holy-mountain-gmo-tropical-reign",26,0.5,4.46,,671148021167,23,29,0,1,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,"GMO Tropical Reign","Sativa Dominant","Very Strong","Holy Mountain","ORGANIGRAM INC.","Holy Mountain is embarking on a journey to more balmy climates with the introduction of GMO Tropical Reign. This sativa dominant bud is a descendent of GMO Crescendo x Super Tropical #100. The combined result yields cheesy, peppery and nutty aromas with just a light fruity backdrop. For the experienced consumer, it might be described as a lighter and fruitier GMO Cookies. Don’t let the tropical vibes fool you, these buds are covered with a frost that matches Holy Mountains snowiest peaks.",,"Alpha-Humulene, Beta-Caryophyllene, Germacrene, Limonene, Myrcene","Dried Flower","[Pineapple Nuken](https://ocs.ca/products/pineaple-nuken-divvy)"
253,"2023-12-30","Dried Flower","Homestead","Bangtail Milled",5.21,"g","https://ocs.ca/products/bangtail-milled-homestead",23,0.5,36.47,"In stock online",688318001911,20,26,0,1,"Hybrid-Greenhouse",,"Delta","Delta",49.0846258,-123.057938,,"Hybrid","Very Strong","Homestead","Rubicon Organics Inc","Our high-quality Bangtail Milled cannabis offers easy-to-roll single-strain flower at an accessible price point. Featuring a rotating selection of cultivars, all flower used in Bangtail Milled is hang-dried for optimal flavour.",,,"Dried Flower","[Banjo-GPS](https://ocs.ca/products/grandpas-stash-ouest)"
254,"2023-12-30","Dried Flower","HWY 8 Cannabis","Colossal Pineapple",,,"https://ocs.ca/products/colossal-pineapple-hwy-8-cannabis-golden-pineapple",23,0.5,,,,20,26,0,1,"Indoor",,"Niagara Escarpment","Niagara",43.6440753,-79.4086982,"Golden Pineapple","Sativa Dominant","Very Strong","HWY 8 Cannabis","Transagro Inc. dba Hwy 8 Cannabis","Colossal Pineapple, a whole lot of premium XXL bud. The strong Golden Pineapple flavour is as impressive as the size of the bud. Flavoured uniquely with ocimene, farnesene and a touch of limonene, HWY 8 Cannabis, the exclusive producer of the Golden Pineapple strain, invites you to experience this unparalleled product.",,"Farnasene, Guaiol, Limonene, Linalool, Ocimene","Dried Flower","[Blackberry Gelato Pre-Rolls](https://ocs.ca/products/blackberry-gelato-pre-rolls-wildlife)"
255,"2023-12-30","Dried Flower","Itopian","Cherry Juice",10.17,"g","https://ocs.ca/products/cherry-juice-itopian",24,1,10.17,"Out of stock",,21,27,0,2,"Indoor",,,,,,,"Indica Dominant","Very Strong","Itopian","Joi Botanicals Ltd","Itopian brings an in-house Jamaican favourite to Canada. The name says it all with sharp notes of cherry and mint. This craft cultivar combines the best of both worlds, high THC and terpene content, along with dense buds covered in trichomes. Grown in coco under LED lights, hang-dried, cold cured and hand-trimmed in British Columbia.",,"Caryophyllene, Myrcene, Pinene","Dried Flower","[Reserva Privada OG18](https://ocs.ca/products/reserva-privada-og18-strain-rec)"
258,"2023-12-30","Dried Flower","Jonny Chronic","Reefer-Ready Indiana BG",4.29,"g","https://ocs.ca/products/reefer-ready-indiana-bubblegum-jonny-chronic-space-cake",27,0.995,4.29,"Out of stock",,24,30,0,1.99,"Outdoor",,"Thorndale","Thorndale",43.1054531,-81.1401989,"Indiana Bubblegum","Indica Dominant","Very Strong","Jonny Chronic","JC Green Cannabis Inc","Reefer-Ready Indiana BG is a high THC indica strain landrace. Grown in small batches, every plant is hang-dried, trimmed and milled to the perfect consistency. Indiana BG has a berry and cherry aroma due to its unique terpene profile.",,"Alpha-Caryophyllene, Alpha-Humulene, Alpha-Myrcene, Alpha-Pinene, Limonene","Dried Flower","[Royal Collection Redees Pre-Roll (King Pack)](https://ocs.ca/products/royal-collection-redees-pre-roll-king-pack-redecan)"
262,"2023-12-30","Dried Flower","Kronic","Gorilla Breath",13.41,"g","https://ocs.ca/products/gorilla-breath-kronic-gorilla-breath",29,0.5,46.94,"In stock online",55841000092,26,32,0,1,"Indoor",,"North York","North York",43.7543263,-79.4491169664,"Gorilla Breath","Hybrid","Very Strong","Kronic","Kronic Relief Inc.","Gorilla Breath is a cross of Original Glue and OGKB, originally bred by Humboldt Seed Company. This legacy strain is a hybrid with high resin production, a strong OG aroma and a delicious flavour profile. It's a strain with bold flavours. Gorilla Breath is everything they said it would be and more. It features lime green buds with purple hues, bright orange hairs, and diamond trichomes that sparkle in any light. With potent densely packed buds in every batch, this strain is for the cannabis lovers. Grown in Toronto, this strain was pheno-hunted in-house by our team. Where all strains are hang dried, hand trimmed and never irradiated! We take pride in flushing each crop for 10-14 days, ensuring a smooth taste and a clean burn every time.",,"Caryophyllene, Myrcene","Dried Flower","[All Flower (3CT) FPOG Pre-Roll](https://ocs.ca/products/all-flower-3ct-fpog-pre-roll-greybeard)"
265,"2023-12-30","Dried Flower","KushKraft","Hulkberry",,,"https://ocs.ca/products/hulkberry-kushkraft-hulkberry",28,2.5,,,,25,31,0,5,"Indoor",,"Mount Forest","Mount Forest",43.9806979,-80.7338237,"Hulkberry","Sativa Dominant","Very Strong","KushKraft","WPCP LTD.","Hulkberry is the fusion of Colorado’s dankest cannabis breeding stock. The prized OG Kush cut and the fruitiest Strawberry Diesel cultivar collided to smash open a new dank dimension from which Hulkberry emerged. The potent Hulkberry strain was previously reserved exclusively for the top shelf of well-stocked Colorado dispensaries. Now one of the most potent head stash in the world is finally available.",,"Farnasene, Limonene, Linalool, Myrcene, Trans-Caryophyllene","Dried Flower","[Pink Cookies](https://ocs.ca/products/pink-cookies-big-bag-o-buds)"
267,"2023-12-30","Dried Flower","LOT420","Atomic Apple",,,"https://ocs.ca/products/atomic-apples-lot420",26,1,,,,23,29,0,2,"Indoor",,"Mansonville","Mansonville",45.0498357,-72.391857,,"Hybrid","Very Strong","LOT420","8688958 CANADA INC.","Coming at you straight from outer space, Atomic Apple is a cross between Triangle Mint and Apple Fritter. The terps on this one are truly out of this world, the first whiffs are straight malty apple cider followed a musky fruit punch smell that’s both swe",,"Caryophyllene, Farnasene, Limonene","Dried Flower","[Kush Mints](https://ocs.ca/products/kush-mints-tweed)"
268,"2023-12-30","Dried Flower","Lowbanks Grow","Grease Monkey",,,"https://ocs.ca/products/grease-monkey-lowbanks-grow",24,0.5,,,,18,30,0,1,"Greenhouse",,"Niagara","Niagara",43.6440753,-79.4086982,,"Indica Dominant","Very Strong","Lowbanks Grow","2560968 Ontario Inc.–Lowbanks Grow","Grease Monkey is a pungent strain. Users can notice flavours of nutty vanilla and sweet skunky diesel with each inhale. An indica-dominant hybrid strain which is ultra high in THC. This strain is a cross between GG #4 and Cookies and Cream.",,,"Dried Flower","[Elios Reserve Dark Shadow Haze](https://ocs.ca/products/elios-reserve-dark-shadow-haze-elios-reserve)"
269,"2023-12-30","Dried Flower","Lowbanks Grow","Cherry Bomb Gelato",,,"https://ocs.ca/products/cherry-bomb-gelato-lowbanks-grow-cherry-bomb-gelato",24.5,2.5,,,,21,28,0,5,"Greenhouse",,"Niagara","Niagara",43.6440753,-79.4086982,"Cherry Bomb Gelato","Hybrid","Very Strong","Lowbanks Grow","2560968 Ontario Inc.â€“Lowbanks Grow","Cherry Bomb Gelato is a well-balanced hybrid. It is good as an all-purpose smoke. It is a cross between Tangerine Dream and Hawaiian sativa landrace. Cherry Bomb Gelato has a sweet flavour & aroma. This strain tastes like a mix of tangerine and berry explosion.",,"Beta-Caryophyllene, Eucalyptol","Dried Flower","[Bush League Sour Kush Milled Flower](https://ocs.ca/products/bush-league-sour-kush-milled-flower-back-forty)"
270,"2023-12-30","Dried Flower","LowKey By MTL Cannabis","Dessert",7.96,"g","https://ocs.ca/products/dessert-lowkey-by-mtl-cannabis",27.5,0.5,27.86,"In stock online",628518000307,25,30,0,1,"Indoor",,"Montreal","Montreal",45.5031824,-73.5698065,,"Hybrid","Very Strong","LowKey By MTL Cannabis","ABBA MEDIX CORP","LowKey By MTL Cannabis’s Dessert Strain features Apple Fritter, a sweet treat 50/50 Hybrid cross of Sour Apples x Animal Cookies. A dense, light green, exotic flower covered in trichomes featuring caryophyllene, limonene and pinene as its main terpenes. Delivering a sweet and sour fruity apple intertwined with light vanilla pastry decadent flavours.",,,"Dried Flower","[Berry Smasher](https://ocs.ca/products/berry-smasher-muskoka-grown)"
271,"2023-12-30","Dried Flower","Ministry of Sativa","Oaxacan Haze",9.39,"g","https://ocs.ca/products/oaxacan-haze-ministry-of-sativa",22.5,0.5,32.87,"In stock online",628176844190,20,25,0,1,"Hybrid-Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,,"Sativa Dominant","Very Strong","Ministry of Sativa","RoyalMax Biotechnology Canada Inc.","Oaxacan Haze is a high THC sativa cannabis strain with legacy genetics hailing from the Oaxaca region of Mexico. Our current batch of Oaxacan Haze contains more than 2% terpenes, with caryophyllene being the dominant terpene. Like many fine hazes, Oaxacan Haze has a cirtus and lemon taste profile with am earthy and funky finish. The buds are medium to large size and diamond shaped when cured with dark orange pistils covered in trichomes. As Canada’s first all-sativa brand, Ministry of Sativa is a group on a mission: to bring people who love sativas consistent access to the greatest sativa strains on the planet.",,,"Dried Flower","[Mango Haze Pre-Roll](https://ocs.ca/products/mango-haze-pre-roll-color-cannabis)"
273,"2023-12-30","Dried Flower","MSIKU","Peach Chementine",9.41,"g","https://ocs.ca/products/peach-chementine-msiku-peach-crescendo",30.5,0.5,32.94,"In stock online",182373000440,28,33,0,1,"Indoor",,"Lower Sackville (Halifax)","Halifax",44.648618,-63.5859487,"Peach Crescendo","Indica Dominant","Very Strong","MSIKU","Atlanticann Medical Inc","A tasty mix carefully chosen by the experts at MSIKU, Peah Chementine combines the citrusy sweetness of fragrant peaches, fuel and clementines. The dense, fuzzy, frosted buds of the Peach Chementine give off the delicious scent of Peach Ringz with a hint of fuel on the undertone. Sought after by cannabis connoisseurs for its taste and aroma, this indica strain is a descendant of the rare Peach OG lineage with CKS. This indica-dominant hybrid is best suited for seasoned consumers.",,,"Dried Flower","[B. Banner Pre-Roll](https://ocs.ca/products/b-banner-pre-roll-argentia-gold)"
274,"2023-12-30","Dried Flower","MTL Cannabis","Strawberry n' Mintz",8.22,"g","https://ocs.ca/products/strawberry-n-mintz-mtl-cannabis",33,0.5,8.22,,628518000246,30,36,0,1,"Indoor",,"Pointe Claire, QC","Pointe Claire",45.4566767,-73.8067442,,"Sativa Dominant","Very Strong","MTL Cannabis","ABBA MEDIX CORP","MTL Cannabis Strawberry n' Mints has flowers with complex greens, interspersed with hints of red and orange. There is a thick layer of frosty trichomes that glisten. The main terpenes, myrcene, caryophyllene, help deliver a fresh berry flavour on the inhale, giving off an earthy, minty finish on the exhale.",,,"Dried Flower","[Platinum Cookies Pre-Rolls](https://ocs.ca/products/platinum-cookies-pre-rolls-palmetto)"
276,"2023-12-30","Dried Flower","MTL Cannabis","Sage n' Sour",6.08,"g","https://ocs.ca/products/sage-n-sour-mtl-cannabis",28,3,170.24,"In stock online",878340000048,25,31,0,6,"Indoor",,"Pointe Claire, QC","Pointe Claire",45.4566767,-73.8067442,,"Sativa Dominant","Very Strong","MTL Cannabis","ABBA MEDIX CORP","A cross between Sour Diesel x S.A.G.E (Sativa Afghani Genetic Equilibrium), this strain takes its well-known East Coast Sour Diesel lineage to the next level, through its unique terpenes. Sage n’ Sour is full of pungent, gassy diesel notes, with peppery, limey and cedar accents.",,,"Dried Flower","[Pure Sun CBD Pre-Rolls](https://ocs.ca/products/pure-sun-cbd-pre-rolls-pure-sunfarms)"
